WERKS,BWART,MATNR,MENGE,MEINS,BUDAT
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
DE01,201,000000000100100001,1250,L,01.01.2024
